Rule,Z-statistic,P-value
1,7.479129646093074,7.481643887249872e-14
4,21.0527294919869,2.1588255966506275e-98
5,-0.7127214389031697,0.4760181473957098
7,1.3324977405197234,0.18269668344185297
8,17.3236956230507,3.116824855746445e-67
11,3.5873044874523417,0.00033411408316623897
14,-16.091004532032304,2.9501164206877214e-58
17,-5.874072992791822,4.252159976716047e-09
18,-5.881902805963618,4.055764971944342e-09
19,17.570645995719776,4.1343774476743213e-69
23,-3.37681895842581,0.000733292977361661
26,0.17446957836339175,0.8614964370246496
31,11.374438673829898,5.6062379912857136e-30
32,9.64133042323389,5.349015925005402e-22
33,15.27579647169483,1.1086515707370198e-52
