Rule,Z-statistic,P-value
1,5.40573673877831,6.454253831777459e-08
4,10.555461037407373,4.792808755422105e-26
5,0.22542479949452027,0.8216488208767974
7,2.0138334713543413,0.04402702027875045
8,9.818558949687773,9.367297744140222e-23
11,1.6077583233523534,0.10788811943742592
14,-6.308090002025436,2.824999328516263e-10
17,-1.720753147604828,0.08529562760897642
18,-1.2473915924781611,0.21225394781907292
19,10.552796279933478,4.9307393890098165e-26
23,0.29308214091126944,0.769459367186725
26,1.9540481290751324,0.050695525596045884
31,6.069447543779439,1.283510057004837e-09
32,5.693226170143625,1.2466107678596356e-08
33,8.522827085719522,1.5570515811735412e-17
