Rule,Z-statistic,P-value
rule1,7.479129646093074,7.481643887249872e-14
rule2,2.1508188803714514,0.03149049827035079
rule3,3.123088724420878,0.001789637896617224
rule4,21.0527294919869,2.1588255966506275e-98
rule5,-0.7127214389031697,0.4760181473957098
rule6,-1.3852750429621674,0.16596838196189823
rule7,1.3324977405197234,0.18269668344185297
rule8,17.3236956230507,3.116824855746445e-67
rule9,-18.399306887037458,1.330557808708973e-75
rule10,-1.5734290847388537,0.11561949680982343
rule11,3.5873044874523417,0.00033411408316623897
rule12,-14.532473638059827,7.544600621139756e-48
rule13,2.8095228711372604,0.004961499375376633
rule14,-16.091004532032304,2.9501164206877214e-58
rule15,-11.557046398134776,6.800789607852336e-31
rule16,-2.7307065411396296,0.006319871857189313
rule17,-5.874072992791822,4.252159976716047e-09
rule18,-5.881902805963618,4.055764971944342e-09
rule19,17.570645995719776,4.1343774476743213e-69
rule20,-21.1167439678284,5.581170598444576e-99
rule21,-17.023622940556177,5.486811906906027e-65
rule22,-17.260880641244515,9.268654477575618e-67
rule23,-3.37681895842581,0.000733292977361661
rule24,-1.9575005124795828,0.05028865159132403
rule25,0.17446957836339175,0.8614964370246496
rule26,10.36765249441403,3.4796786293174886e-25
rule27,19.11082128289386,2.0521373033453527e-81
rule28,17.20680414873671,2.3610723592274263e-66
rule29,11.374438673829898,5.6062379912857136e-30
rule30,9.64133042323389,5.349015925005402e-22
rule31,15.27579647169483,1.1086515707370198e-52
