Rule,Z-statistic,P-value
1,1.412241710226814,0.1578788029805135
4,7.864479566436938,3.7063507768410395e-15
5,-1.4305667982907855,0.15255440872275391
7,-0.2728004144998007,0.7850066409195827
8,5.124452297326701,2.984038833320112e-07
11,0.7913649260012521,0.4287310710855745
14,-5.1338484574854295,2.838766998329229e-07
17,-1.4901292136389006,0.1361902641754645
18,-1.0270047202182246,0.30441824143974594
19,6.49085267065233,8.53519155180772e-11
23,1.1809607936774882,0.23761829865070927
26,1.3697722448368232,0.17075800864937074
31,5.049041102288553,4.440332040127129e-07
32,3.6541808992604667,0.00025800431936369363
33,4.990786565885306,6.013391480356595e-07
