Rule,Z-statistic,P-value
1,2.4159862489390984,0.015692653975868824
4,11.654155916301443,2.185351631726063e-31
5,-1.4425935812224828,0.14913499260284693
7,0.1950660386287944,0.8453412490801633
8,8.789624746267673,1.5006034189957952e-18
11,0.795259854007282,0.426462361207094
14,-5.493891359367794,3.9317241386226326e-08
17,-2.499307862238046,0.012443615651610779
18,-1.4244078778162343,0.15432843509876573
19,10.208210044645734,1.8219478822969374e-24
23,-0.5666675860249553,0.5709400470671473
26,0.47024785977324374,0.6381779443049047
31,5.835275410503937,5.370178801715645e-09
32,5.480716115034279,4.236077201391919e-08
33,8.870909802685121,7.255070095624223e-19
